,balance,冗長ラベル（日本語）,冗長ラベル（英語）,標準ラベル（英語）,標準ラベル（日本語）,color
収益事業収益_down,credit ,収益事業収益、学校法人 ,For-profit operating revenue - EDU ,For-profit operating revenue ,収益事業収益 ,cyan
収益事業費用_down,debit ,収益事業費用、学校法人 ,For-profit operating expenses - EDU ,For-profit operating expenses ,収益事業費用 ,cyan
収益分配金_down,debit ,収益分配金、流動資産、投資運用業 ,Dividends-CA-IVT ,Dividends ,収益分配金 ,cyan
取引所関係費_down,debit ,取引所関係費、販売費及び一般管理費、商品先物取引業 ,Exchange related expenses-SGA-CMD ,Exchange related expenses ,取引所関係費 ,cyan
取引関係費_down,debit ,取引関係費、販売費及び一般管理費、第一種金融商品取引業 ,Trading related expenses-SGA-SEC ,Trading related expenses ,取引関係費 ,cyan
取引関連費_down,debit ,取引関連費、販売費及び一般管理費 ,Trading related expenses-SGA ,Trading related expenses ,取引関連費 ,cyan
取立外国為替_down,debit ,取立外国為替、外国為替、資産の部、銀行業 ,Foreign bills receivable-foreign exchanges-assets-BNK ,Foreign bills receivable ,取立外国為替 ,cyan
受入保証金_down,credit ,受入保証金、流動負債、第一種金融商品取引業 ,Guarantee deposits received-CL-SEC ,Guarantee deposits received ,受入保証金 ,cyan
受入手数料_down,credit ,受入手数料、営業収益、第一種金融商品取引業 ,Commission received-OR-SEC ,Commission received ,受入手数料 ,cyan
受入敷金保証金_down,credit ,受入敷金保証金 ,Leasehold and guarantee deposits received ,Leasehold and guarantee deposits received ,受入敷金保証金 ,cyan
受入為替手数料_down,credit ,受入為替手数料、経常収益、銀行業 ,Fees and commissions on domestic and foreign exchanges-OI-BNK ,Fees and commissions on domestic and foreign exchanges ,受入為替手数料 ,cyan
受入証拠金_down,credit ,受入証拠金、投資運用業 ,Margin received-IVT ,Margin received ,受入証拠金 ,cyan
受取ロイヤリティー_down,credit ,受取ロイヤリティー、営業外収益 ,Royalty income-NOI ,Royalty income ,受取ロイヤリティー ,cyan
受取事務手数料_down,credit ,受取事務手数料、営業外収益 ,Administrative service fee income - NOI ,Administrative service fee income ,受取事務手数料 ,cyan
受取保証料_down,credit ,受取保証料、営業外収益 ,Guarantee commission received-NOI ,Guarantee commission received ,受取保証料 ,cyan
受取保証金_down,credit ,受取保証金、固定負債、リース事業 ,Guarantee received-NCL-LEA ,Guarantee received ,受取保証金 ,cyan
受取保険料_down,credit ,受取保険料、営業外収益 ,Insurance fee income - NOI ,Insurance fee income ,受取保険料 ,cyan
受取保険金_down,credit ,受取保険金、特別利益 ,Insurance claim income - EI ,Insurance claim income ,受取保険金 ,cyan
受取保険金及び配当金_down,credit ,受取保険金及び配当金、営業外収益 ,Insurance claim and dividend income - NOI ,Insurance claim and dividend income ,受取保険金及び配当金 ,cyan
受取利息_down,credit ,受取利息、営業外収益 ,Interest income-NOI ,Interest income ,受取利息 ,cyan
受取利息・割引料_down,credit ,受取利息・割引料、営業外収益 ,Interest and discounts earned-NOI-RWY ,Interest and discounts earned ,受取利息・割引料 ,cyan
受取利息及び配当金_down,credit ,受取利息及び配当金、営業外収益 ,Interest and dividend income-NOI ,Interest and dividend income ,受取利息及び配当金 ,cyan
受取割引料_down,credit ,受取割引料、営業活動による収益 ,Discount revenue-RevOA ,Discount revenue ,受取割引料 ,cyan
受取和解金_down,credit ,受取和解金、特別利益 ,Settlement received-EI ,Settlement received ,受取和解金 ,cyan
受取地代家賃_down,credit ,受取地代家賃、営業外収益 ,Rental income from land and buildings - NOI ,Rental income from land and buildings ,受取地代家賃 ,cyan
受取家賃_down,credit ,受取家賃、営業外収益 ,Rental income from buildings - NOI ,Rental income from buildings ,受取家賃 ,cyan
受取差金勘定_down,credit ,受取差金勘定、流動負債、第一種金融商品取引業 ,Variation margin received-CL-SEC ,Variation margin received ,受取差金勘定 ,cyan
受取手形_down,debit ,受取手形 ,Notes receivable-trade ,Notes receivable - trade ,受取手形 ,cyan
受取手形、売掛金及び未収運賃_down,debit ,受取手形、売掛金及び未収運賃、鉄道事業 ,"Notes, accounts receivable - trade, and accrued freight - RWY ","Notes, accounts receivable - trade, and accrued freight ",受取手形、売掛金及び未収運賃 ,cyan
受取手形・完成工事未収入金_down,debit ,受取手形・完成工事未収入金、建設業 ,"Notes receivable, accounts receivable from completed construction contracts-CNS ","Notes receivable, accounts receivable from completed construction contracts ",受取手形・完成工事未収入金 ,cyan
受取手形・完成工事未収入金等_down,debit ,受取手形・完成工事未収入金等、建設業 ,"Notes receivable, accounts receivable from completed construction contracts and other-CNS ","Notes receivable, accounts receivable from completed construction contracts and other ",受取手形・完成工事未収入金等 ,cyan
受取手形及び営業未収入金_down,debit ,受取手形及び営業未収入金、流動資産 ,Trade notes and accounts receivable - CA ,Trade notes and accounts receivable ,受取手形及び営業未収入金 ,cyan
受取手形及び売掛金_down,debit ,受取手形及び売掛金 ,Notes and accounts receivable-trade ,Notes and accounts receivable - trade ,受取手形及び売掛金 ,cyan
受取手形及び売掛金（純額）_down,debit ,受取手形及び売掛金（純額） ,"Notes and accounts receivable-trade, net ","Notes and accounts receivable - trade, net ",受取手形及び売掛金（純額） ,cyan
受取手形（純額）_down,debit ,受取手形（純額） ,"Notes receivable-trade, net ","Notes receivable - trade, net ",受取手形（純額） ,cyan
受取手数料_down,credit ,受取手数料、営業収益、商品先物取引業 ,Brokerage income-OR-CMD ,Brokerage income ,受取手数料 ,cyan
受取技術料_down,credit ,受取技術料、営業外収益 ,Technical support fee income - NOI ,Technical support fee income ,受取技術料 ,cyan
受取補償金_down,credit ,受取補償金、特別利益 ,Compensation income-EI ,Compensation income ,受取補償金 ,cyan
受取賃貸料_down,credit ,受取賃貸料、営業外収益 ,Rental income - NOI ,Rental income ,受取賃貸料 ,cyan
受取配当金_down,credit ,受取配当金、営業外収益 ,Dividend income-NOI ,Dividend income ,受取配当金 ,cyan
受注工事勘定_down,debit ,受注工事勘定、ガス事業 ,Related construction-GAS ,Related construction ,受注工事勘定 ,cyan
受注工事及び器具売上_down,credit ,受注工事及び器具売上、ガス事業 ,Installation work and appliances sales-GAS ,Installation work and appliances sales ,受注工事及び器具売上 ,cyan
受注工事及び器具売上原価_down,debit ,受注工事及び器具売上原価、ガス事業 ,Cost of installation work and appliances sales-GAS ,Cost of installation work and appliances sales ,受注工事及び器具売上原価 ,cyan
受注工事収益_down,credit ,受注工事収益、ガス事業 ,Revenue from installation work-GAS ,Revenue from installation work ,受注工事収益 ,cyan
受注工事損失引当金_down,credit ,受注工事損失引当金、流動負債 ,Provision for loss on construction contracts - CL ,Provision for loss on construction contracts ,受注工事損失引当金 ,cyan
受注工事費用_down,debit ,受注工事費用、ガス事業 ,Installation work expenses - GAS ,Installation work expenses ,受注工事費用 ,cyan
受注損失引当金_down,credit ,受注損失引当金、流動負債 ,Provision for loss on order received-CL ,Provision for loss on order received ,受注損失引当金 ,cyan
受益証券発行費_down,debit ,受益証券発行費、営業費用、投資運用業 ,Beneficiary certificate issuance cost-OE-IVT ,Beneficiary certificate issuance cost ,受益証券発行費 ,cyan
受託品売上原価_down,debit ,受託品売上原価、営業活動による費用・売上原価 ,Cost of sales of goods on consignment-COSExpOA ,Cost of sales of goods on consignment ,受託品売上原価 ,cyan
受託品売上高_down,credit ,受託品売上高、営業活動による収益 ,Sales of goods on consignment-RevOA ,Sales of goods on consignment ,受託品売上高 ,cyan
受託工事事務費戻入_down,credit ,受託工事事務費戻入、営業外収益、鉄道事業 ,Reversal of clerical costs on work performed on contract-NOI-RWY ,Reversal of clerical costs on work performed on contract ,受託工事事務費戻入 ,cyan
受託業務前受金_down,credit ,受託業務前受金、流動負債、高速道路事業 ,Advances received for management-CL-HWY ,Advances received for management ,受託業務前受金 ,cyan
受託業務前払金_down,debit ,受託業務前払金、流動資産、高速道路事業 ,Advance payments for management-CA-HWY ,Advance payments for management ,受託業務前払金 ,cyan
受託業務収入_down,credit ,受託業務収入、営業収益、高速道路事業営業損益、高速道路事業 ,Revenue - management-operating revenue-highway business-HWY ,Revenue - management ,受託業務収入 ,cyan
受託業務費用_down,debit ,受託業務費用、営業費用、高速道路事業営業損益、高速道路事業 ,Fiduciary business operating expenses-operating expenses-highway business-HWY ,Fiduciary business operating expenses - management ,受託業務費用 ,cyan
受託製造収益_down,credit ,受託製造収益、ガス事業 ,Revenue from contract manufacturing - GAS ,Revenue from contract manufacturing ,受託製造収益 ,cyan
受託販売未払金_down,credit ,受託販売未払金 ,Accounts payable-consignment ,Accounts payable - consignment ,受託販売未払金 ,cyan
各事業共用固定資産_down,debit ,各事業共用固定資産、高速道路事業 ,Non-current assets - affiliated-HWY ,Non-current assets - affiliated ,各事業共用固定資産 ,cyan
各事業関連_down,debit ,各事業関連、建設仮勘定、鉄道事業 ,Construction in progress - shared - RWY ,Construction in progress - shared ,各事業関連 ,cyan
各事業関連固定資産_down,debit ,各事業関連固定資産、鉄道事業 ,Non-current assets - shared - RWY ,Non-current assets - shared ,各事業関連固定資産 ,cyan
合併による商品受入高_down,debit ,合併による商品受入高、売上原価 ,Transfer of goods by merger-COS ,Transfer of goods by merger ,合併による商品受入高 ,cyan
合併関連費用_down,debit ,合併関連費用、特別損失 ,Merger expenses-EL ,Merger expenses ,合併関連費用 ,cyan
合計、商品及び製品期首たな卸高及び当期仕入高、売上原価_down,debit ,合計、商品及び製品期首たな卸高及び当期仕入高、売上原価 ,Total-beginning and cost purchased-merchandise and finished goods-COS ,Total-beginning and cost purchased-merchandise and finished goods-COS ,合計、商品及び製品期首たな卸高及び当期仕入高、売上原価 ,cyan
合計、商品期首たな卸高及び当期商品仕入高_down,debit ,合計、商品期首たな卸高及び当期商品仕入高 ,Total-beginning and purchase of goods ,Total-beginning and purchase of goods ,合計、商品期首たな卸高及び当期商品仕入高 ,cyan
